id,Info_Source
1000162,TV
1000162,WhatsApp
1000162,Social Media (not WhatsApp)
1000162,Family members
1000162,Friends
1000162,Religious leaders
1000136,Radio
1000136,TV
1000136,WhatsApp
1000136,Social Media (not WhatsApp)
1000181,Radio
1000181,TV
1000181,WhatsApp
1000181,Social Media (not WhatsApp)
1000181,Health unit/Health care worker
1000181,Family members
1000181,Friends
1000181,Religious leaders
1000181,Any person from the community
1000210,Radio
1000210,TV
1000210,WhatsApp
1000210,Social Media (not WhatsApp)
1000210,Health unit/Health care worker
1000210,Family members
1000210,Friends
1000210,Community health workers
1000210,Other community mobilisers
1000210,Community leaders
1000210,Religious leaders
1000210,Traditional midwives
1000210,Any person from the community
1000139,Radio
1000139,TV
1000139,WhatsApp
1000139,Social Media (not WhatsApp)
1000139,Health unit/Health care worker
1000139,Family members
1000139,Community health workers
1000139,Community leaders
1000133,Radio
1000133,TV
1000133,WhatsApp
1000133,Social Media (not WhatsApp)
1000133,Family members
1000133,Friends
1000243,Radio
1000243,TV
1000243,WhatsApp
1000243,Social Media (not WhatsApp)
1000243,Health unit/Health care worker
1000243,Family members
1000243,Friends
1000243,Community health workers
1000243,Community leaders
1000243,Religious leaders
1000169,TV
1000169,WhatsApp
1000169,Social Media (not WhatsApp)
1000169,Health unit/Health care worker
1000169,Family members
1000169,Religious leaders
1000182,Radio
1000182,TV
1000182,WhatsApp
1000182,Social Media (not WhatsApp)
1000182,Health unit/Health care worker
1000182,Family members
1000182,Friends
1000170,Radio
1000170,TV
1000170,WhatsApp
1000170,Social Media (not WhatsApp)
1000170,Family members
1000170,Friends
1000170,Community leaders
1000170,Religious leaders
1000170,Any person from the community
1000101,Radio
1000101,TV
1000101,WhatsApp
1000101,Social Media (not WhatsApp)
1000101,Health unit/Health care worker
1000101,Family members
1000101,Friends
1000101,Community health workers
1000101,Religious leaders
1000267,Radio
1000267,TV
1000267,WhatsApp
1000267,Friends
1000267,Religious leaders
1000267,Any person from the community
1000134,Radio
1000134,TV
1000134,WhatsApp
1000134,Social Media (not WhatsApp)
1000134,Family members
1000134,Friends
1000134,Community health workers
1000134,Red Cross Red Crescent volunteers
1000134,Other community mobilisers
1000134,Community leaders
1000134,Religious leaders
1000134,Traditional healers
1000134,Traditional midwives
1000134,Any person from the community
1000221,Radio
1000221,TV
1000221,Social Media (not WhatsApp)
1000221,Health unit/Health care worker
1000221,Community leaders
1000148,Radio
1000148,TV
1000148,WhatsApp
1000148,Social Media (not WhatsApp)
1000148,Community leaders
1000148,Religious leaders
1000252,Radio
1000252,TV
1000252,WhatsApp
1000252,Social Media (not WhatsApp)
1000252,Health unit/Health care worker
1000252,Community health workers
1000274,WhatsApp
1000274,Social Media (not WhatsApp)
1000274,Health unit/Health care worker
1000274,Family members
1000274,Friends
1000144,Radio
1000144,TV
1000144,WhatsApp
1000144,Social Media (not WhatsApp)
1000144,Family members
1000144,Friends
1000144,Any person from the community
1000220,Radio
1000220,TV
1000220,WhatsApp
1000220,Social Media (not WhatsApp)
1000220,Health unit/Health care worker
1000220,Family members
1000220,Friends
1000220,Religious leaders
1000192,Radio
1000192,TV
1000192,WhatsApp
1000192,Social Media (not WhatsApp)
1000192,Health unit/Health care worker
1000192,Family members
1000192,Friends
1000192,Other community mobilisers
1000192,Community leaders
1000192,Religious leaders
1000192,Any person from the community
1000253,Radio
1000253,TV
1000253,WhatsApp
1000253,Social Media (not WhatsApp)
1000253,Health unit/Health care worker
1000253,Family members
1000253,Friends
1000253,Community health workers
1000253,Community leaders
1000253,Any person from the community
1000215,Radio
1000215,TV
1000215,WhatsApp
1000215,Social Media (not WhatsApp)
1000215,Family members
1000157,Radio
1000157,TV
1000157,WhatsApp
1000157,Social Media (not WhatsApp)
1000157,Religious leaders
1000157,Any person from the community
1000113,TV
1000113,WhatsApp
1000113,Social Media (not WhatsApp)
1000140,Radio
1000140,TV
1000140,WhatsApp
1000140,Social Media (not WhatsApp)
1000140,Family members
1000140,Friends
1000140,Religious leaders
1000211,Radio
1000211,TV
1000211,WhatsApp
1000211,Social Media (not WhatsApp)
1000211,Health unit/Health care worker
1000211,Family members
1000211,Friends
1000211,Community health workers
1000211,Other community mobilisers
1000211,Religious leaders
1000197,Radio
1000197,TV
1000197,WhatsApp
1000197,Social Media (not WhatsApp)
1000197,Health unit/Health care worker
1000197,Family members
1000197,Friends
1000197,Community health workers
1000197,Community leaders
1000197,Religious leaders
1000197,Any person from the community
1000313,Radio
1000313,TV
1000313,WhatsApp
1000313,Social Media (not WhatsApp)
1000313,Health unit/Health care worker
1000313,Family members
1000313,Friends
1000313,Community health workers
1000313,Red Cross Red Crescent volunteers
1000313,Other community mobilisers
1000313,Community leaders
1000313,Religious leaders
1000313,Traditional healers
1000313,Traditional midwives
1000313,Any person from the community
1000266,Radio
1000266,TV
1000266,WhatsApp
1000266,Social Media (not WhatsApp)
1000266,Health unit/Health care worker
1000266,Family members
1000266,Friends
1000266,Community health workers
1000266,Community leaders
1000266,Religious leaders
1000266,Any person from the community
1000108,TV
1000108,CNN
1000164,Radio
1000164,TV
1000164,WhatsApp
1000164,Social Media (not WhatsApp)
1000164,Health unit/Health care worker
1000164,Family members
1000164,Friends
1000164,Community health workers
1000164,Community leaders
1000164,Religious leaders
1000164,Any person from the community
1000110,Radio
1000110,TV
1000110,WhatsApp
1000110,Social Media (not WhatsApp)
1000110,Health unit/Health care worker
1000110,Family members
1000110,Friends
1000103,Radio
1000103,TV
1000103,WhatsApp
1000103,Social Media (not WhatsApp)
1000103,Friends
1000103,Religious leaders
1000103,Any person from the community
1000256,Radio
1000256,TV
1000256,WhatsApp
1000256,Family members
1000256,Friends
1000256,Community leaders
1000256,Any person from the community
1000264,Radio
1000264,TV
1000264,WhatsApp
1000264,Social Media (not WhatsApp)
1000264,Health unit/Health care worker
1000264,Family members
1000264,Friends
1000264,Community health workers
1000264,Community leaders
1000264,Religious leaders
1000193,Radio
1000193,TV
1000193,WhatsApp
1000193,Social Media (not WhatsApp)
1000193,Health unit/Health care worker
1000193,Family members
1000193,Friends
1000193,Community health workers
1000193,Red Cross Red Crescent volunteers
1000193,Other community mobilisers
1000193,Community leaders
1000193,Religious leaders
1000193,Traditional healers
1000193,Traditional midwives
1000193,Any person from the community
1000244,TV
1000244,WhatsApp
1000244,Social Media (not WhatsApp)
1000244,Health unit/Health care worker
1000244,Family members
1000244,Friends
1000244,Religious leaders
1000283,Radio
1000283,TV
1000283,WhatsApp
1000283,Social Media (not WhatsApp)
1000283,Health unit/Health care worker
1000283,Family members
1000283,Friends
1000283,Community health workers
1000283,Community leaders
1000283,Religious leaders
1000283,Any person from the community
1000159,Radio
1000159,TV
1000159,WhatsApp
1000159,Social Media (not WhatsApp)
1000262,Radio
1000262,TV
1000262,WhatsApp
1000262,Social Media (not WhatsApp)
1000262,Health unit/Health care worker
1000262,Family members
1000262,Friends
1000262,Community health workers
1000262,Other community mobilisers
1000262,Community leaders
1000262,Religious leaders
1000262,Any person from the community
1000126,Radio
1000126,TV
1000126,WhatsApp
1000126,Social Media (not WhatsApp)
1000126,Health unit/Health care worker
1000126,Family members
1000254,Radio
1000254,TV
1000254,WhatsApp
1000254,Social Media (not WhatsApp)
1000254,Health unit/Health care worker
1000254,Family members
1000254,Friends
1000254,Community health workers
1000254,Religious leaders
1000254,Any person from the community
1000152,Radio
1000152,TV
1000152,Social Media (not WhatsApp)
1000152,Health unit/Health care worker
1000152,Family members
1000152,Friends
1000152,Community health workers
1000152,Religious leaders
1000238,Radio
1000238,TV
1000238,WhatsApp
1000238,Social Media (not WhatsApp)
1000238,Health unit/Health care worker
1000238,Family members
1000238,Friends
1000238,Community health workers
1000238,Any person from the community
1000277,Radio
1000277,TV
1000277,WhatsApp
1000277,Social Media (not WhatsApp)
1000277,Family members
1000277,Friends
1000277,Religious leaders
1000277,Any person from the community
1000106,Radio
1000106,TV
1000106,WhatsApp
1000106,Social Media (not WhatsApp)
1000106,Health unit/Health care worker
1000106,Family members
1000106,Friends
1000106,Community health workers
1000106,Red Cross Red Crescent volunteers
1000106,Other community mobilisers
1000106,Community leaders
1000106,Religious leaders
1000106,Any person from the community
1000106,Business Associates
1000130,Radio
1000130,TV
1000130,WhatsApp
1000130,Friends
1000130,Religious leaders
1000224,Radio
1000224,TV
1000224,WhatsApp
1000224,Social Media (not WhatsApp)
1000224,Family members
1000224,Community health workers
1000224,Community leaders
1000143,Radio
1000143,TV
1000143,WhatsApp
1000143,Social Media (not WhatsApp)
1000161,Radio
1000161,TV
1000161,WhatsApp
1000161,Social Media (not WhatsApp)
1000161,Health unit/Health care worker
1000161,Family members
1000161,Friends
1000161,Religious leaders
1000161,Any person from the community
1000137,Radio
1000137,TV
1000137,WhatsApp
1000137,Social Media (not WhatsApp)
1000137,Health unit/Health care worker
1000137,Family members
1000137,Friends
1000137,Community health workers
1000137,Religious leaders
1000137,Any person from the community
1000201,Radio
1000201,TV
1000201,WhatsApp
1000201,Social Media (not WhatsApp)
1000201,Health unit/Health care worker
1000201,Family members
1000201,Friends
1000201,Community health workers
1000201,Community leaders
1000201,Religious leaders
1000300,Radio
1000300,TV
1000300,WhatsApp
1000300,Social Media (not WhatsApp)
1000300,Health unit/Health care worker
1000300,Family members
1000300,Friends
1000300,Community health workers
1000300,Community leaders
1000300,Any person from the community
1000317,Radio
1000317,TV
1000317,WhatsApp
1000317,Health unit/Health care worker
1000317,Family members
1000317,Friends
1000317,Religious leaders
1000317,Any person from the community
1000314,Radio
1000314,TV
1000314,WhatsApp
1000314,Social Media (not WhatsApp)
1000314,Health unit/Health care worker
1000314,Family members
1000314,Friends
1000314,Community leaders
1000235,Radio
1000235,TV
1000235,WhatsApp
1000235,Social Media (not WhatsApp)
1000235,Health unit/Health care worker
1000235,Friends
1000235,Religious leaders
1000235,Any person from the community
1000320,Radio
1000320,TV
1000320,WhatsApp
1000320,Social Media (not WhatsApp)
1000320,Health unit/Health care worker
1000320,Family members
1000320,Friends
1000320,Community health workers
1000320,Community leaders
1000320,Religious leaders
1000320,Any person from the community
1000304,Radio
1000304,TV
1000304,WhatsApp
1000304,Social Media (not WhatsApp)
1000304,Health unit/Health care worker
1000304,Family members
1000304,Friends
1000304,Community health workers
1000304,Community leaders
1000304,Traditional midwives
1000195,Radio
1000195,TV
1000195,WhatsApp
1000195,Health unit/Health care worker
1000195,Friends
1000195,Community leaders
1000195,Religious leaders
1000292,Radio
1000292,TV
1000292,WhatsApp
1000292,Social Media (not WhatsApp)
1000292,Family members
1000292,Friends
1000292,Community health workers
1000292,Community leaders
1000292,Religious leaders
1000292,Any person from the community
1000163,Radio
1000163,TV
1000163,WhatsApp
1000163,Social Media (not WhatsApp)
1000163,Family members
1000163,Friends
1000163,Religious leaders
1000307,Radio
1000307,TV
1000307,Health unit/Health care worker
1000307,Community health workers
1000307,Religious leaders
1000153,Radio
1000153,TV
1000153,WhatsApp
1000153,Social Media (not WhatsApp)
1000153,Health unit/Health care worker
1000153,Family members
1000153,Friends
1000132,Radio
1000132,TV
1000132,WhatsApp
1000132,Social Media (not WhatsApp)
1000132,Health unit/Health care worker
1000132,Family members
1000132,Friends
1000132,Community health workers
1000168,TV
1000168,WhatsApp
1000168,Social Media (not WhatsApp)
1000168,Health unit/Health care worker
1000168,Family members
1000168,Friends
1000306,Radio
1000306,TV
1000306,WhatsApp
1000306,Social Media (not WhatsApp)
1000306,Health unit/Health care worker
1000306,Family members
1000306,Friends
1000306,Community health workers
1000306,Community leaders
1000306,Religious leaders
1000180,Radio
1000180,TV
1000180,WhatsApp
1000180,Social Media (not WhatsApp)
1000180,Health unit/Health care worker
1000180,Family members
1000180,Friends
1000180,Community health workers
1000180,Religious leaders
1000180,Any person from the community
1000151,Social Media (not WhatsApp)
1000165,Radio
1000165,TV
1000165,WhatsApp
1000165,Social Media (not WhatsApp)
1000165,Family members
1000165,Friends
1000165,Community leaders
1000165,Religious leaders
1000165,Any person from the community
1000154,Radio
1000154,TV
1000154,Social Media (not WhatsApp)
1000154,Health unit/Health care worker
1000154,Family members
1000154,Friends
1000154,Community health workers
1000154,Community leaders
1000154,Religious leaders
1000154,Any person from the community
1000231,Radio
1000231,TV
1000231,WhatsApp
1000231,Social Media (not WhatsApp)
1000231,Health unit/Health care worker
1000231,Family members
1000231,Friends
1000231,Community health workers
1000231,Red Cross Red Crescent volunteers
1000231,Community leaders
1000231,Religious leaders
1000231,Any person from the community
1000269,Radio
1000269,TV
1000269,WhatsApp
1000269,Family members
1000269,Friends
1000175,Radio
1000175,TV
1000175,WhatsApp
1000175,Social Media (not WhatsApp)
1000175,Health unit/Health care worker
1000175,Family members
1000175,Friends
1000175,Religious leaders
1000175,Any person from the community
1000188,Radio
1000188,TV
1000188,Social Media (not WhatsApp)
1000188,Health unit/Health care worker
1000188,Family members
1000188,Friends
1000188,Community leaders
1000188,Religious leaders
1000188,Any person from the community
1000123,TV
1000123,WhatsApp
1000123,Social Media (not WhatsApp)
1000123,Family members
1000123,Friends
1000123,Religious leaders
1000109,TV
1000109,CNN
1000270,Radio
1000270,TV
1000270,WhatsApp
1000270,Social Media (not WhatsApp)
1000270,Religious leaders
1000229,Radio
1000229,TV
1000229,Family members
1000229,Friends
1000229,Community health workers
1000150,Radio
1000150,TV
1000150,WhatsApp
1000319,Radio
1000319,TV
1000319,WhatsApp
1000319,Health unit/Health care worker
