id,Trust_Channel
1000250,Social Media (not WhatsApp)
1000250,Friends
1000145,Radio
1000145,TV
1000145,Religious leaders
1000145,Any person from the community
1000273,Radio
1000273,TV
1000127,Radio
1000127,TV
1000247,Radio
1000247,TV
1000247,WhatsApp
1000247,Social Media (not WhatsApp)
1000247,Family members
1000247,Friends
1000247,Religious leaders
1000227,Radio
1000227,TV
1000265,Radio
1000265,TV
1000265,WhatsApp
1000265,Social Media (not WhatsApp)
1000265,Health unit/Health care worker
1000265,Community health workers
1000311,TV
