id,Prevention_Steps
1000181,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000210,Washing hands regularly using alcohol-based cleaner or soap / water
1000210,Covering mouth and nose when coughing or sneezing
1000210,Avoid close contact with anyone who has a fever and cough
1000139,Washing hands regularly using alcohol-based cleaner or soap / water
1000139,Covering mouth and nose when coughing or sneezing
1000139,Avoid close contact with anyone who has a fever and cough
1000133,Washing hands regularly using alcohol-based cleaner or soap / water
1000133,Covering mouth and nose when coughing or sneezing
1000133,Avoid close contact with anyone who has a fever and cough
1000133,Cook meat and eggs well
1000243,Washing hands regularly using alcohol-based cleaner or soap / water
1000243,Covering mouth and nose when coughing or sneezing
1000243,Avoid close contact with anyone who has a fever and cough
1000169,Washing hands regularly using alcohol-based cleaner or soap / water
1000169,Covering mouth and nose when coughing or sneezing
1000169,Avoid close contact with anyone who has a fever and cough
1000169,Cook meat and eggs well
1000182,Washing hands regularly using alcohol-based cleaner or soap / water
1000182,Covering mouth and nose when coughing or sneezing
1000182,Avoid close contact with anyone who has a fever and cough
1000170,Washing hands regularly using alcohol-based cleaner or soap / water
1000170,Covering mouth and nose when coughing or sneezing
1000170,Avoid close contact with anyone who has a fever and cough
1000170,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000101,Washing hands regularly using alcohol-based cleaner or soap / water
1000101,Covering mouth and nose when coughing or sneezing
1000101,Avoid close contact with anyone who has a fever and cough
1000267,Washing hands regularly using alcohol-based cleaner or soap / water
1000267,Covering mouth and nose when coughing or sneezing
1000267,Avoid close contact with anyone who has a fever and cough
1000134,Washing hands regularly using alcohol-based cleaner or soap / water
1000134,Covering mouth and nose when coughing or sneezing
1000134,Avoid close contact with anyone who has a fever and cough
1000134,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000221,Washing hands regularly using alcohol-based cleaner or soap / water
1000221,Covering mouth and nose when coughing or sneezing
1000221,Avoid close contact with anyone who has a fever and cough
1000221,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000148,Washing hands regularly using alcohol-based cleaner or soap / water
1000148,Covering mouth and nose when coughing or sneezing
1000148,Avoid close contact with anyone who has a fever and cough
1000148,Cook meat and eggs well
1000148,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000252,Washing hands regularly using alcohol-based cleaner or soap / water
1000252,Covering mouth and nose when coughing or sneezing
1000252,Avoid close contact with anyone who has a fever and cough
1000274,Washing hands regularly using alcohol-based cleaner or soap / water
1000274,Covering mouth and nose when coughing or sneezing
1000274,Avoid close contact with anyone who has a fever and cough
1000274,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000144,Washing hands regularly using alcohol-based cleaner or soap / water
1000144,Covering mouth and nose when coughing or sneezing
1000144,Avoid close contact with anyone who has a fever and cough
1000220,Washing hands regularly using alcohol-based cleaner or soap / water
1000220,Covering mouth and nose when coughing or sneezing
1000220,Avoid close contact with anyone who has a fever and cough
1000220,Cook meat and eggs well
1000220,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000192,Washing hands regularly using alcohol-based cleaner or soap / water
1000192,Covering mouth and nose when coughing or sneezing
1000192,Avoid close contact with anyone who has a fever and cough
1000192,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000253,Washing hands regularly using alcohol-based cleaner or soap / water
1000253,Covering mouth and nose when coughing or sneezing
1000253,Avoid close contact with anyone who has a fever and cough
1000253,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000215,Washing hands regularly using alcohol-based cleaner or soap / water
1000215,Covering mouth and nose when coughing or sneezing
1000215,Avoid close contact with anyone who has a fever and cough
1000215,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000157,Washing hands regularly using alcohol-based cleaner or soap / water
1000157,Covering mouth and nose when coughing or sneezing
1000157,Avoid close contact with anyone who has a fever and cough
1000113,Washing hands regularly using alcohol-based cleaner or soap / water
1000113,Covering mouth and nose when coughing or sneezing
1000113,Avoid close contact with anyone who has a fever and cough
1000113,Cook meat and eggs well
1000113,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000140,Washing hands regularly using alcohol-based cleaner or soap / water
1000140,Covering mouth and nose when coughing or sneezing
1000140,Avoid close contact with anyone who has a fever and cough
1000140,Cook meat and eggs well
1000140,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000211,Washing hands regularly using alcohol-based cleaner or soap / water
1000211,Covering mouth and nose when coughing or sneezing
1000211,Avoid close contact with anyone who has a fever and cough
1000211,Eliminate standing water
1000211,Cook meat and eggs well
1000211,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000197,Washing hands regularly using alcohol-based cleaner or soap / water
1000197,Covering mouth and nose when coughing or sneezing
1000197,Avoid close contact with anyone who has a fever and cough
1000197,Cook meat and eggs well
1000313,Washing hands regularly using alcohol-based cleaner or soap / water
1000313,Covering mouth and nose when coughing or sneezing
1000313,Avoid close contact with anyone who has a fever and cough
1000313,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000266,Washing hands regularly using alcohol-based cleaner or soap / water
1000266,Covering mouth and nose when coughing or sneezing
1000266,Avoid close contact with anyone who has a fever and cough
1000108,Washing hands regularly using alcohol-based cleaner or soap / water
1000108,Covering mouth and nose when coughing or sneezing
1000108,Avoid close contact with anyone who has a fever and cough
1000108,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000164,Washing hands regularly using alcohol-based cleaner or soap / water
1000164,Covering mouth and nose when coughing or sneezing
1000164,Avoid close contact with anyone who has a fever and cough
1000110,Washing hands regularly using alcohol-based cleaner or soap / water
1000110,Covering mouth and nose when coughing or sneezing
1000110,Avoid close contact with anyone who has a fever and cough
1000103,Washing hands regularly using alcohol-based cleaner or soap / water
1000103,Covering mouth and nose when coughing or sneezing
1000103,Avoid close contact with anyone who has a fever and cough
1000256,Washing hands regularly using alcohol-based cleaner or soap / water
1000256,Covering mouth and nose when coughing or sneezing
1000256,Avoid close contact with anyone who has a fever and cough
1000264,Washing hands regularly using alcohol-based cleaner or soap / water
1000264,Avoid close contact with anyone who has a fever and cough
1000264,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000193,Washing hands regularly using alcohol-based cleaner or soap / water
1000193,Covering mouth and nose when coughing or sneezing
1000193,Avoid close contact with anyone who has a fever and cough
1000244,Washing hands regularly using alcohol-based cleaner or soap / water
1000244,Covering mouth and nose when coughing or sneezing
1000244,Avoid close contact with anyone who has a fever and cough
1000244,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000283,Washing hands regularly using alcohol-based cleaner or soap / water
1000283,Covering mouth and nose when coughing or sneezing
1000283,Avoid close contact with anyone who has a fever and cough
1000283,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000159,Washing hands regularly using alcohol-based cleaner or soap / water
1000159,Covering mouth and nose when coughing or sneezing
1000159,Avoid close contact with anyone who has a fever and cough
1000159,Cook meat and eggs well
1000262,Washing hands regularly using alcohol-based cleaner or soap / water
1000262,Covering mouth and nose when coughing or sneezing
1000262,Avoid close contact with anyone who has a fever and cough
1000262,Cook meat and eggs well
1000262,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000126,Washing hands regularly using alcohol-based cleaner or soap / water
1000126,Covering mouth and nose when coughing or sneezing
1000254,Washing hands regularly using alcohol-based cleaner or soap / water
1000254,Covering mouth and nose when coughing or sneezing
1000254,Avoid close contact with anyone who has a fever and cough
1000254,Cook meat and eggs well
1000152,Covering mouth and nose when coughing or sneezing
1000238,Washing hands regularly using alcohol-based cleaner or soap / water
1000238,Covering mouth and nose when coughing or sneezing
1000238,Avoid close contact with anyone who has a fever and cough
1000238,Cook meat and eggs well
1000277,Washing hands regularly using alcohol-based cleaner or soap / water
1000277,Covering mouth and nose when coughing or sneezing
1000277,Avoid close contact with anyone who has a fever and cough
1000277,Cook meat and eggs well
1000277,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000106,Washing hands regularly using alcohol-based cleaner or soap / water
1000106,Covering mouth and nose when coughing or sneezing
1000106,Avoid close contact with anyone who has a fever and cough
1000106,Eliminate standing water
1000106,Cook meat and eggs well
1000106,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000130,Washing hands regularly using alcohol-based cleaner or soap / water
1000130,Covering mouth and nose when coughing or sneezing
1000130,Avoid close contact with anyone who has a fever and cough
1000130,Cook meat and eggs well
1000224,Washing hands regularly using alcohol-based cleaner or soap / water
1000224,Covering mouth and nose when coughing or sneezing
1000224,Avoid close contact with anyone who has a fever and cough
1000143,Washing hands regularly using alcohol-based cleaner or soap / water
1000143,Covering mouth and nose when coughing or sneezing
1000143,Avoid close contact with anyone who has a fever and cough
1000143,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000161,Washing hands regularly using alcohol-based cleaner or soap / water
1000161,Covering mouth and nose when coughing or sneezing
1000161,Avoid close contact with anyone who has a fever and cough
1000137,Washing hands regularly using alcohol-based cleaner or soap / water
1000137,Covering mouth and nose when coughing or sneezing
1000137,Avoid close contact with anyone who has a fever and cough
1000137,Cook meat and eggs well
1000201,Washing hands regularly using alcohol-based cleaner or soap / water
1000201,Covering mouth and nose when coughing or sneezing
1000201,Avoid close contact with anyone who has a fever and cough
1000201,Eliminate standing water
1000300,Washing hands regularly using alcohol-based cleaner or soap / water
1000300,Covering mouth and nose when coughing or sneezing
1000300,Avoid close contact with anyone who has a fever and cough
1000317,Washing hands regularly using alcohol-based cleaner or soap / water
1000317,Covering mouth and nose when coughing or sneezing
1000317,Avoid close contact with anyone who has a fever and cough
1000317,Eating well to build immunity
1000314,Washing hands regularly using alcohol-based cleaner or soap / water
1000314,Covering mouth and nose when coughing or sneezing
1000314,Avoid close contact with anyone who has a fever and cough
1000314,Cook meat and eggs well
1000314,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000235,Washing hands regularly using alcohol-based cleaner or soap / water
1000235,Covering mouth and nose when coughing or sneezing
1000235,Avoid close contact with anyone who has a fever and cough
1000320,Washing hands regularly using alcohol-based cleaner or soap / water
1000320,Covering mouth and nose when coughing or sneezing
1000320,Avoid close contact with anyone who has a fever and cough
1000304,Washing hands regularly using alcohol-based cleaner or soap / water
1000304,Covering mouth and nose when coughing or sneezing
1000304,Avoid close contact with anyone who has a fever and cough
1000304,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000195,Washing hands regularly using alcohol-based cleaner or soap / water
1000195,Avoid close contact with anyone who has a fever and cough
1000195,Cook meat and eggs well
1000195,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000292,Washing hands regularly using alcohol-based cleaner or soap / water
1000292,Covering mouth and nose when coughing or sneezing
1000292,Avoid close contact with anyone who has a fever and cough
1000292,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000163,Washing hands regularly using alcohol-based cleaner or soap / water
1000163,Covering mouth and nose when coughing or sneezing
1000163,Avoid close contact with anyone who has a fever and cough
1000307,Washing hands regularly using alcohol-based cleaner or soap / water
1000307,Covering mouth and nose when coughing or sneezing
1000307,Avoid close contact with anyone who has a fever and cough
1000307,Cook meat and eggs well
1000307,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000153,Washing hands regularly using alcohol-based cleaner or soap / water
1000153,Covering mouth and nose when coughing or sneezing
1000153,Avoid close contact with anyone who has a fever and cough
1000132,Washing hands regularly using alcohol-based cleaner or soap / water
1000132,Covering mouth and nose when coughing or sneezing
1000168,Washing hands regularly using alcohol-based cleaner or soap / water
1000168,Covering mouth and nose when coughing or sneezing
1000168,Avoid close contact with anyone who has a fever and cough
1000306,Washing hands regularly using alcohol-based cleaner or soap / water
1000306,Covering mouth and nose when coughing or sneezing
1000306,Avoid close contact with anyone who has a fever and cough
1000180,Washing hands regularly using alcohol-based cleaner or soap / water
1000180,Covering mouth and nose when coughing or sneezing
1000180,Avoid close contact with anyone who has a fever and cough
1000180,Eliminate standing water
1000180,Cook meat and eggs well
1000180,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000151,Washing hands regularly using alcohol-based cleaner or soap / water
1000151,Covering mouth and nose when coughing or sneezing
1000151,Avoid close contact with anyone who has a fever and cough
1000151,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000165,Washing hands regularly using alcohol-based cleaner or soap / water
1000165,Covering mouth and nose when coughing or sneezing
1000165,Avoid close contact with anyone who has a fever and cough
1000165,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000154,Washing hands regularly using alcohol-based cleaner or soap / water
1000154,Covering mouth and nose when coughing or sneezing
1000154,Avoid close contact with anyone who has a fever and cough
1000154,Cook meat and eggs well
1000231,Washing hands regularly using alcohol-based cleaner or soap / water
1000231,Covering mouth and nose when coughing or sneezing
